dataset,algorithm,fold,roc_auc,train_time_s,inference_time_s
sick,catboost,1,0.9944103858636857,3.177920516998711,0.003364845000760397
sick,catboost,2,0.9995394252026529,3.154656292999789,0.002992780999193201
sick,catboost,3,0.9993551952837141,3.1279002020000917,0.0027885910003533354
sick,catboost,4,0.9992630803242446,2.984946439999476,0.002994944999954896
sick,tabpfn,0,0.9989881645918931,0.6009856629989372,1.6368515209996986
sick,tabpfn,1,0.9965741074648395,0.6004512050003541,1.596109943000556
sick,tabpfn,2,0.999355195283714,0.5667356209996797,1.5808875760012597
sick,tabpfn,3,0.9989867354458364,0.47749913000006927,1.616162352000174
sick,tabpfn,4,0.9982191107835913,0.5186414809995767,1.6036412129997188
sick,tabicl,0,0.9981296375789539,0.35987008399933984,0.9405975319987192
sick,tabicl,1,0.9972652963096527,0.3706403150008555,0.9299746670003515
sick,tabicl,2,0.9988639154998772,0.37388668899984623,0.9529865559998143
sick,tabicl,3,0.9989560304593466,0.36630051099928096,0.9759234800003469
sick,tabicl,4,0.9987103905674282,0.3868334010003309,0.9706043759997556
